../Pbp_cross66
rap	pT	cent	dPhi	ntrk	ET	ctauErrMin	ctauErrMax
-0.47-0.53	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.014	0.056	
-0.47-0.53	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.008	0.04	
-0.47-0.53	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.021	0.056	
-0.47-0.53	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.056	
-0.47-0.53	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.056	
-0.47-0.53	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.056	
-1.47--0.47	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.048	
-1.47--0.47	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.008	0.04	
-1.47--0.47	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.105	
-1.47--0.47	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.112	
-1.47--0.47	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.073	
-1.47--0.47	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.064	
-1.97--1.47	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.08	
-1.97--1.47	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.008	0.073	
-1.97--1.47	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.16	
-1.97--1.47	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.12	
-1.97--1.47	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.096	
-1.97--1.47	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.096	
-2.4--1.97	0.0-3.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.072	0.616	
-2.4--1.97	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.096	
-2.4--1.97	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.08	
-2.4--1.97	3.0-6.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.032	0.224	
-2.4--1.97	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.128	
-2.4--1.97	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.128	
-2.4--1.97	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.096	
-2.4--1.97	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.088	
0.53-1.03	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.04	
0.53-1.03	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.008	0.04	
0.53-1.03	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.08	
0.53-1.03	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.064	
0.53-1.03	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.064	
0.53-1.03	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.056	
1.03-1.93	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.056	
1.03-1.93	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.008	0.056	
1.03-1.93	3.0-6.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.136	
1.03-1.93	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.105	
1.03-1.93	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.088	
1.03-1.93	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.088	
1.03-1.93	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.064	
