../pPb_cross66
rap	pT	cent	dPhi	ntrk	ET	ctauErrMin	ctauErrMax
-0.53-0.47	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.014	0.044	
-0.53-0.47	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.008	0.04	
-0.53-0.47	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.056	
-0.53-0.47	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.056	
-0.53-0.47	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.048	
-0.53-0.47	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.048	
-1.03--0.53	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.042	
-1.03--0.53	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.008	0.04	
-1.03--0.53	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.073	
-1.03--0.53	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.056	
-1.03--0.53	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.056	
-1.03--0.53	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.048	
-1.93--1.03	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.056	
-1.93--1.03	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.012	0.04	
-1.93--1.03	3.0-6.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.145	
-1.93--1.03	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.088	
-1.93--1.03	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.08	
-1.93--1.03	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.064	
-1.93--1.03	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.08	
0.47-1.47	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.014	0.056	
0.47-1.47	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.008	0.048	
0.47-1.47	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.088	
0.47-1.47	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.096	
0.47-1.47	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.064	
0.47-1.47	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.064	
1.47-1.97	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.088	
1.47-1.97	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.008	0.056	
1.47-1.97	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.152	
1.47-1.97	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.145	
1.47-1.97	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.112	
1.47-1.97	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.112	
1.97-2.4	0.0-3.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.08	0.528	
1.97-2.4	11.0-14.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.08	
1.97-2.4	14.0-30.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.073	
1.97-2.4	3.0-6.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.032	0.209	
1.97-2.4	6.5-7.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.032	0.112	
1.97-2.4	7.5-8.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.112	
1.97-2.4	8.5-9.5	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.024	0.096	
1.97-2.4	9.5-11.0	0.0-100.0	0.000-1.571	0.0-350.0	0.0-120.0	0.016	0.08	
